Nombre compuesto	Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Desulfatiglandales bacterium GCA_963666345.1	Desulfatiglandales bacterium		isolate: 7b555824-8626-4373-9f6d-e46e1e23d1ce	3024416	piMetSpee1.Desulfatiglandales_2.1	GCA_963666345.1	GenBank		Complete Genome	4162108	4162108	17/11/23		PRJEB69036	SAMEA114407038
uncultured Desulfobacter sp. GCA_963666675.1	uncultured Desulfobacter sp.		isolate: ab583996-6c72-41ec-a8bc-7a43732d896d	240139	piMetSpec1.Desulfobacter_sp_1.1	GCA_963666675.1	GenBank		Complete Genome	6482017	6482017	17/11/23		PRJEB67189	SAMEA114406865
uncultured Desulfobacterium sp. GCA_963674605.1	uncultured Desulfobacterium sp.		isolate: 2c08e38e-77a0-468a-b8ca-c683eacf49f2	201089	piMetSpef1.Desulfobacterium_sp_1.1	GCA_963674605.1	GenBank		Complete Genome	6061752	6061752	17/11/23		PRJEB69416	SAMEA114503694
uncultured Desulfosarcina sp. GCA_963674765.1	uncultured Desulfosarcina sp.		isolate: c75788b4-9dc9-432e-af07-dc879bdb42fc	218289	piMetSpef1.Desulfosarcina_sp_1.1	GCA_963674765.1	GenBank		Complete Genome	7662290	7662290	17/11/23		PRJEB69416	SAMEA114503683
uncultured Desulfobacter sp. GCA_963675255.1	uncultured Desulfobacter sp.		isolate: 6579293f-26f5-4e71-a9db-d48b61c722da	240139	piTriSpea1.Desulfobacter_sp_1.1	GCA_963675255.1	GenBank		Complete Genome	5141290	5141290	17/11/23		PRJEB69548	SAMEA114409195
Desulfobacterales bacterium GCA_963675485.1	Desulfobacterales bacterium		isolate: b599e3c4-2ca3-45e6-bc7f-bb04c01707dc	2044940	piTriSpea1.Desulfobacterales_1.1	GCA_963675485.1	GenBank		Complete Genome	7437707	7437707	18/11/23		PRJEB69548	SAMEA114409196
Desulfobacterales bacterium GCA_963675715.1	Desulfobacterales bacterium		isolate: 4b92870f-ba81-4c82-9d98-8a89c3612312	2044940	piMetSpef1.Desulfobacterales_1.1	GCA_963675715.1	GenBank		Complete Genome	7364975	7364975	18/11/23		PRJEB69416	SAMEA114503684
uncultured Desulfobacterium sp. GCA_963676925.1	uncultured Desulfobacterium sp.		isolate: b5edb3ca-a369-423b-9e9e-493c49de4e5b	201089	piPlaSpea1.Desulfobacterium_sp_1.1	GCA_963676925.1	GenBank		Complete Genome	5769677	5769677	18/11/23		PRJEB69759	SAMEA114407673
uncultured Desulfobacter sp. GCA_963677125.1	uncultured Desulfobacter sp.		isolate: d1cfb46f-64c6-49bd-9162-13cddd374643	240139	piPlaSpec1.Desulfobacter_sp_1.1	GCA_963677125.1	GenBank		Complete Genome	6067025	6067025	18/11/23		PRJEB69780	SAMEA114407732
uncultured Desulfobacter sp. GCA_965140745.1	uncultured Desulfobacter sp.		isolate: 6c515263-4ca9-4785-8cb0-20be41d20dde	240139	piPlaSpeb1.Desulfobacter_sp_1.1	GCA_965140745.1	GenBank		Complete Genome	137544	6687933	11/02/25		PRJEB85473	SAMEA114501237
Desulfobacteraceae bacterium GCA_965226635.1	Desulfobacteraceae bacterium		isolate: eda27e51-6729-4144-ada2-54b8f0e2c651	2049433	jaAcrCyth1.Desulfobacteraceae_1.1	GCA_965226635.1	GenBank		Complete Genome	5306180	5306180	27/03/25		PRJEB86279	SAMEA117735851
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
